Id,IsDeleted,MasterRecordId,Name,Type,ParentId,BillingStreet,BillingCity,BillingState,BillingPostalCode,BillingCountry,BillingLatitude,BillingLongitude,BillingGeocodeAccuracy,BillingAddress,ShippingStreet,ShippingCity,ShippingState,ShippingPostalCode,ShippingCountry,ShippingLatitude,ShippingLongitude,ShippingGeocodeAccuracy,ShippingAddress,Phone,Fax,AccountNumber,Website,PhotoUrl,Sic,Industry,AnnualRevenue,NumberOfEmployees,Ownership,TickerSymbol,Description,Rating,Site,OwnerId,CreatedDate,CreatedById,LastModifiedDate,LastModifiedById,SystemModstamp,LastActivityDate,LastViewedDate,LastReferencedDate,Jigsaw,JigsawCompanyId,CleanStatus,AccountSource,DunsNumber,Tradestyle,NaicsCode,NaicsDesc,YearStarted,SicDesc,DandbCompanyId,OperatingHoursId
0017200000biNYUAA2,,,西山コーセン株式会社,お客様候補,,四番町４－２,千代田区,東京都,102-8362,JP,,,,"{""city"":""千代田区"",""country"":""JP"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""102-8362"",""state"":""東京都"",""street"":""四番町４－２""}",,,,,,,,,,03-1234-5016,03-5793-8302,A-127559,nishiyama-kosen.example.com,/services/images/photo/0017200000biNYUAA2,,流通&小売,85380000000,132,上場,,"【事業内容】
写真用、医療用、食用各種ゼラチンの製造販売。製本包装用、衛材用、ラベル用その他各種タイプの接着剤、ゲル化剤、安定剤、調味料等の食品材料、生化学、バイオマテリアル用コラーゲンの製造・販売。
2003年6月6日付で環境マネジメントシステムの国際規格である「ISO14001」の認証を、財団法人日本品質保証機構（JQA）より取得",見込みあり：中,本社,00572000008d2X9AAI,2025-04-17T02:07:28.000+0000,00572000008d2X9AAI,2025-04-17T02:07:28.000+0000,00572000008d2X9AAI,2025-04-17T02:07:28.000+0000,,2025-04-17T02:07:28.000+0000,2025-04-17T02:07:28.000+0000,,,Pending,,,,,,,,,
0017200000biNYVAA2,,,株式会社安曇野,旧お客様,,西原１－１－１,朝霞市,埼玉県,351-0034,JP,,,,"{""city"":""朝霞市"",""country"":""JP"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""351-0034"",""state"":""埼玉県"",""street"":""西原１－１－１""}",,,,,,,,,,03-1234-5017,03-5793-8302,A-127581,azumino.example.com,/services/images/photo/0017200000biNYVAA2,,食品,75131800000,650,未上場,,"【事業内容】
写真用、医療用、食用各種ゼラチンの製造販売。製本包装用、衛材用、ラベル用その他各種タイプの接着剤、ゲル化剤、安定剤、調味料等の食品材料、生化学、バイオマテリアル用コラーゲンの製造・販売。
2003年6月6日付で環境マネジメントシステムの国際規格である「ISO14001」の認証を、財団法人日本品質保証機構（JQA）より取得",見込みなし,本社,00572000008d2X9AAI,2025-04-17T02:07:28.000+0000,00572000008d2X9AAI,2025-04-17T02:07:28.000+0000,00572000008d2X9AAI,2025-04-17T02:07:28.000+0000,,2025-04-17T02:07:28.000+0000,2025-04-17T02:07:28.000+0000,,,Pending,,,,,,,,,
0017200000biNYWAA2,,,京輪不動産株式会社,お客様,,西麻布４－１２－２４,港区,東京都,106-8685,JP,,,,"{""city"":""港区"",""country"":""JP"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""106-8685"",""state"":""東京都"",""street"":""西麻布４－１２－２４""}",,,,,,,,,,03-1234-5018,03-5793-8302,A-127598,keirin-real-estate.example.com,/services/images/photo/0017200000biNYWAA2,,不動産,56680000000,249,上場,,"【事業内容】
写真用、医療用、食用各種ゼラチンの製造販売。製本包装用、衛材用、ラベル用その他各種タイプの接着剤、ゲル化剤、安定剤、調味料等の食品材料、生化学、バイオマテリアル用コラーゲンの製造・販売。
2003年6月6日付で環境マネジメントシステムの国際規格である「ISO14001」の認証を、財団法人日本品質保証機構（JQA）より取得",将来見込み有り,本社,00572000008d2X9AAI,2025-04-17T02:07:28.000+0000,00572000008d2X9AAI,2025-04-17T02:07:28.000+0000,00572000008d2X9AAI,2025-04-17T02:07:28.000+0000,,2025-04-17T02:07:28.000+0000,2025-04-17T02:07:28.000+0000,,,Pending,,,,,,,,,
0017200000biNYXAA2,,,大日本ワイズ株式会社,お客様候補,,岩本町１−１−１,千代田区,東京都,104-0031,JP,,,,"{""city"":""千代田区"",""country"":""JP"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""104-0031"",""state"":""東京都"",""street"":""岩本町１−１−１""}",,,,,,,,,,03-1234-5019,03-5793-8302,A-127612,dainihon-wise.example.com,/services/images/photo/0017200000biNYXAA2,,医薬品,57112450000,1313,上場,,"【事業内容】
写真用、医療用、食用各種ゼラチンの製造販売。製本包装用、衛材用、ラベル用その他各種タイプの接着剤、ゲル化剤、安定剤、調味料等の食品材料、生化学、バイオマテリアル用コラーゲンの製造・販売。
2003年6月6日付で環境マネジメントシステムの国際規格である「ISO14001」の認証を、財団法人日本品質保証機構（JQA）より取得",見込みあり：高,本社,00572000008d2X9AAI,2025-04-17T02:07:28.000+0000,00572000008d2X9AAI,2025-04-17T02:07:28.000+0000,00572000008d2X9AAI,2025-04-17T02:07:28.000+0000,,2025-04-17T02:07:28.000+0000,2025-04-17T02:07:28.000+0000,,,Pending,,,,,,,,,
0017200000biNYYAA2,,,株式会社北陣,お客様,,平河町１－４－３,千代田区,東京都,102-0093,JP,,,,"{""city"":""千代田区"",""country"":""JP"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""102-0093"",""state"":""東京都"",""street"":""平河町１－４－３""}",,,,,,,,,,03-1234-5020,03-5793-8302,A-127628,hokujin.example.com,/services/images/photo/0017200000biNYYAA2,,精密・機械卸売,42246000000,104,上場,,"【事業内容】
写真用、医療用、食用各種ゼラチンの製造販売。製本包装用、衛材用、ラベル用その他各種タイプの接着剤、ゲル化剤、安定剤、調味料等の食品材料、生化学、バイオマテリアル用コラーゲンの製造・販売。
2003年6月6日付で環境マネジメントシステムの国際規格である「ISO14001」の認証を、財団法人日本品質保証機構（JQA）より取得",見込み有り,本社,00572000008d2X9AAI,2025-04-17T02:07:28.000+0000,00572000008d2X9AAI,2025-04-17T02:07:28.000+0000,00572000008d2X9AAI,2025-04-17T02:07:28.000+0000,,2025-04-17T02:07:28.000+0000,2025-04-17T02:07:28.000+0000,,,Pending,,,,,,,,,
0017200000biNYZAA2,,,昭和カップ株式会社,お客様,,日本橋小網町１４－１,中央区,東京都,103-0016,JP,,,,"{""city"":""中央区"",""country"":""JP"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""103-0016"",""state"":""東京都"",""street"":""日本橋小網町１４－１""}",,,,,,,,,,03-1234-5055,03-5793-8302,A-127648,showa-cup.example.com,/services/images/photo/0017200000biNYZAA2,,食品卸売,33926000000,107,上場,,"【事業内容】
写真用、医療用、食用各種ゼラチンの製造販売。製本包装用、衛材用、ラベル用その他各種タイプの接着剤、ゲル化剤、安定剤、調味料等の食品材料、生化学、バイオマテリアル用コラーゲンの製造・販売。
2003年6月6日付で環境マネジメントシステムの国際規格である「ISO14001」の認証を、財団法人日本品質保証機構（JQA）より取得",将来見込み有り,本社,00572000008d2X9AAI,2025-04-17T02:07:28.000+0000,00572000008d2X9AAI,2025-04-17T02:07:28.000+0000,00572000008d2X9AAI,2025-04-17T02:07:28.000+0000,,2025-04-17T02:07:28.000+0000,2025-04-17T02:07:28.000+0000,,,Pending,,,,,,,,,
0017200000biNYaAAM,,,信州エステック株式会社,お客様,,内神田２－２－１,千代田区,東京都,101-0047,JP,,,,"{""city"":""千代田区"",""country"":""JP"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""101-0047"",""state"":""東京都"",""street"":""内神田２－２－１""}",,,,,,,,,,03-1234-5021,03-5793-8302,A-127630,shinshu-estech.example.com,/services/images/photo/0017200000biNYaAAM,,医薬品,41551000000,101,上場,,"【事業内容】
写真用、医療用、食用各種ゼラチンの製造販売。製本包装用、衛材用、ラベル用その他各種タイプの接着剤、ゲル化剤、安定剤、調味料等の食品材料、生化学、バイオマテリアル用コラーゲンの製造・販売。
2003年6月6日付で環境マネジメントシステムの国際規格である「ISO14001」の認証を、財団法人日本品質保証機構（JQA）より取得",見込み有り,本社,00572000008d2X9AAI,2025-04-17T02:07:28.000+0000,00572000008d2X9AAI,2025-04-17T02:07:28.000+0000,00572000008d2X9AAI,2025-04-17T02:07:28.000+0000,,2025-04-17T02:07:28.000+0000,2025-04-17T02:07:28.000+0000,,,Pending,,,,,,,,,
0017200000biNYbAAM,,,カントリー通信株式会社,旧お客様,,東陽５－３０－１３,江東区,東京都,135-8373,JP,,,,"{""city"":""江東区"",""country"":""JP"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""135-8373"",""state"":""東京都"",""street"":""東陽５－３０－１３""}",,,,,,,,,,03-1234-5022,03-5793-8302,A-127646,cuntry-comm.example.com,/services/images/photo/0017200000biNYbAAM,,流通&小売,39252950000,501,上場,,"【事業内容】
写真用、医療用、食用各種ゼラチンの製造販売。製本包装用、衛材用、ラベル用その他各種タイプの接着剤、ゲル化剤、安定剤、調味料等の食品材料、生化学、バイオマテリアル用コラーゲンの製造・販売。
2003年6月6日付で環境マネジメントシステムの国際規格である「ISO14001」の認証を、財団法人日本品質保証機構（JQA）より取得",見込みあり：中,本社,00572000008d2X9AAI,2025-04-17T02:07:28.000+0000,00572000008d2X9AAI,2025-04-17T02:07:28.000+0000,00572000008d2X9AAI,2025-04-17T02:07:28.000+0000,,2025-04-17T02:07:28.000+0000,2025-04-17T02:07:28.000+0000,,,Pending,,,,,,,,,
0017200000biNYcAAM,,,富士液化ガス株式会社,旧お客様,,晴海１－８－８,中央区,東京都,104-0053,JP,,,,"{""city"":""中央区"",""country"":""JP"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""104-0053"",""state"":""東京都"",""street"":""晴海１－８－８""}",,,,,,,,,,03-1234-5023,03-5793-8302,A-127656,feg.example.com,/services/images/photo/0017200000biNYcAAM,,公共サービス&エネルギー,32582000000,350,未上場,,"【事業内容】
写真用、医療用、食用各種ゼラチンの製造販売。製本包装用、衛材用、ラベル用その他各種タイプの接着剤、ゲル化剤、安定剤、調味料等の食品材料、生化学、バイオマテリアル用コラーゲンの製造・販売。
2003年6月6日付で環境マネジメントシステムの国際規格である「ISO14001」の認証を、財団法人日本品質保証機構（JQA）より取得",見込みなし,本社,00572000008d2X9AAI,2025-04-17T02:07:28.000+0000,00572000008d2X9AAI,2025-04-17T02:07:28.000+0000,00572000008d2X9AAI,2025-04-17T02:07:28.000+0000,,2025-04-17T02:07:28.000+0000,2025-04-17T02:07:28.000+0000,,,Pending,,,,,,,,,
0017200000biNYdAAM,,,アムラホールディングズ株式会社,パートナー,,新生町２－１０－１,銚子市,千葉県,288-0056,JP,,,,"{""city"":""銚子市"",""country"":""JP"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""288-0056"",""state"":""千葉県"",""street"":""新生町２－１０－１""}",,,,,,,,,,03-1234-5024,03-5793-8302,A-127620,amular-holdings.example.com,/services/images/photo/0017200000biNYdAAM,,食品,51290000000,990,未上場,,"【事業内容】
写真用、医療用、食用各種ゼラチンの製造販売。製本包装用、衛材用、ラベル用その他各種タイプの接着剤、ゲル化剤、安定剤、調味料等の食品材料、生化学、バイオマテリアル用コラーゲンの製造・販売。
2003年6月6日付で環境マネジメントシステムの国際規格である「ISO14001」の認証を、財団法人日本品質保証機構（JQA）より取得",見込みあり：高,本社,00572000008d2X9AAI,2025-04-17T02:07:28.000+0000,00572000008d2X9AAI,2025-04-17T02:07:28.000+0000,00572000008d2X9AAI,2025-04-17T02:07:28.000+0000,,2025-04-17T02:07:28.000+0000,2025-04-17T02:07:28.000+0000,,,Pending,,,,,,,,,
0017200000biNYeAAM,,,渡瀬パイプ株式会社,お客様,,亀沢１－４－７,墨田区,東京都,130-0014,JP,,,,"{""city"":""墨田区"",""country"":""JP"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""130-0014"",""state"":""東京都"",""street"":""亀沢１－４－７""}",,,,,,,,,,03-1234-5025,03-5793-8302,A-127544,watase-pipe.example.com,/services/images/photo/0017200000biNYeAAM,,流通&小売,126845000000,1900,上場,,"【事業内容】
写真用、医療用、食用各種ゼラチンの製造販売。製本包装用、衛材用、ラベル用その他各種タイプの接着剤、ゲル化剤、安定剤、調味料等の食品材料、生化学、バイオマテリアル用コラーゲンの製造・販売。
2003年6月6日付で環境マネジメントシステムの国際規格である「ISO14001」の認証を、財団法人日本品質保証機構（JQA）より取得",見込み有り,本社,00572000008d2X9AAI,2025-04-17T02:07:28.000+0000,00572000008d2X9AAI,2025-04-17T02:07:28.000+0000,00572000008d2X9AAI,2025-04-17T02:07:28.000+0000,,2025-04-17T02:07:28.000+0000,2025-04-17T02:07:28.000+0000,,,Pending,,,,,,,,,
0017200000biNYfAAM,,,黒戸電気株式会社,旧お客様,,港南２－１６－２,港区,東京都,108-8220,JP,,,,"{""city"":""港区"",""country"":""JP"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""108-8220"",""state"":""東京都"",""street"":""港南２－１６－２""}",,,,,,,,,,03-1234-5026,03-5793-8302,A-127556,kuroto-denki.example.com,/services/images/photo/0017200000biNYfAAM,,流通&小売,86800000000,306,上場,,"【事業内容】
写真用、医療用、食用各種ゼラチンの製造販売。製本包装用、衛材用、ラベル用その他各種タイプの接着剤、ゲル化剤、安定剤、調味料等の食品材料、生化学、バイオマテリアル用コラーゲンの製造・販売。
2003年6月6日付で環境マネジメントシステムの国際規格である「ISO14001」の認証を、財団法人日本品質保証機構（JQA）より取得",見込みあり：中,本社,00572000008d2X9AAI,2025-04-17T02:07:28.000+0000,00572000008d2X9AAI,2025-04-17T02:07:28.000+0000,00572000008d2X9AAI,2025-04-17T02:07:28.000+0000,,2025-04-17T02:07:28.000+0000,2025-04-17T02:07:28.000+0000,,,Pending,,,,,,,,,
0017200000biNYgAAM,,,江角プラックス株式会社,パートナー,,日本橋馬喰町1-4-16,中央区,東京都,103-0002,JP,,,,"{""city"":""中央区"",""country"":""JP"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""103-0002"",""state"":""東京都"",""street"":""日本橋馬喰町1-4-16""}",,,,,,,,,,03-1234-5027,03-5793-8302,A-127565,esumi-blacks.example.com,/services/images/photo/0017200000biNYgAAM,,流通&小売,77781000000,150,上場,,"【事業内容】
写真用、医療用、食用各種ゼラチンの製造販売。製本包装用、衛材用、ラベル用その他各種タイプの接着剤、ゲル化剤、安定剤、調味料等の食品材料、生化学、バイオマテリアル用コラーゲンの製造・販売。
2003年6月6日付で環境マネジメントシステムの国際規格である「ISO14001」の認証を、財団法人日本品質保証機構（JQA）より取得",見込みあり：高,本社,00572000008d2X9AAI,2025-04-17T02:07:28.000+0000,00572000008d2X9AAI,2025-04-17T02:07:28.000+0000,00572000008d2X9AAI,2025-04-17T02:07:28.000+0000,,2025-04-17T02:07:28.000+0000,2025-04-17T02:07:28.000+0000,,,Pending,,,,,,,,,
0017200000biNYhAAM,,,日本マクトロン株式会社,お客様,,芝大門１－１２－１５,港区,東京都,105-8585,JP,,,,"{""city"":""港区"",""country"":""JP"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""105-8585"",""state"":""東京都"",""street"":""芝大門１－１２－１５""}",,,,,,,,,,03-1234-5028,03-5793-8302,A-127579,nihon-mactron.example.com,/services/images/photo/0017200000biNYhAAM,,製造,68127000000,1250,上場,,"【事業内容】
写真用、医療用、食用各種ゼラチンの製造販売。製本包装用、衛材用、ラベル用その他各種タイプの接着剤、ゲル化剤、安定剤、調味料等の食品材料、生化学、バイオマテリアル用コラーゲンの製造・販売。
2003年6月6日付で環境マネジメントシステムの国際規格である「ISO14001」の認証を、財団法人日本品質保証機構（JQA）より取得",見込み有り,本社,00572000008d2X9AAI,2025-04-17T02:07:28.000+0000,00572000008d2X9AAI,2025-04-17T02:07:28.000+0000,00572000008d2X9AAI,2025-04-17T02:07:28.000+0000,,2025-04-17T02:07:28.000+0000,2025-04-17T02:07:28.000+0000,,,Pending,,,,,,,,,
0017200000biNYiAAM,,,株式会社マリモト,パートナー,,恵比寿南３－７－４,渋谷区,東京都,150-0022,JP,,,,"{""city"":""渋谷区"",""country"":""JP"",""geocodeAccuracy"":null,""latitude"":null,""longitude"":null,""postalCode"":""150-0022"",""state"":""東京都"",""street"":""恵比寿南３－７－４""}",,,,,,,,,,03-1234-5029,03-5793-8302,A-127575,marimoto.example.com,/services/images/photo/0017200000biNYiAAM,,不動産,69057000000,204,未上場,,"【事業内容】
写真用、医療用、食用各種ゼラチンの製造販売。製本包装用、衛材用、ラベル用その他各種タイプの接着剤、ゲル化剤、安定剤、調味料等の食品材料、生化学、バイオマテリアル用コラーゲンの製造・販売。
2003年6月6日付で環境マネジメントシステムの国際規格である「ISO14001」の認証を、財団法人日本品質保証機構（JQA）より取得",見込みあり：高,本社,00572000008d2X9AAI,2025-04-17T02:07:28.000+0000,00572000008d2X9AAI,2025-04-17T02:07:28.000+0000,00572000008d2X9AAI,2025-04-17T02:07:28.000+0000,,2025-04-17T02:07:28.000+0000,2025-04-17T02:07:28.000+0000,,,Pending,,,,,,,,,
